id,name,rank,bayesaverage,usersrated,is_expansion
54,Tikal,358,7.11862,20767,0
181279,Fury of Dracula (Third/Fourth Edition),359,7.11742,14980,0
184921,Bunny Kingdom,360,7.11613,13717,0
209685,Century: Spice Road,361,7.11593,26322,0
54138,Imperial 2030,362,7.11404,7027,0
136888,Bruges,363,7.11287,11930,0
93260,Summoner Wars: Master Set,364,7.1128,11062,0
163967,Tiny Epic Galaxies,365,7.1105,21259,0
188866,Awkward Guests: The Walton Case,366,7.11041,8790,0
227789,Heaven & Ale,367,7.11009,8800,0
350316,Wayfarers of the South Tigris,368,7.10925,5419,0
47,Chinatown,369,7.10851,11777,0
285192,Destinies,370,7.10762,9110,0
234277,Nusfjord,371,7.10747,6747,0
370591,Dorfromantik: The Board Game,372,7.10583,7673,0
59294,Runewars,373,7.10369,8456,0
48726,Alien Frontiers,374,7.10331,15390,0
260180,Project L,375,7.10124,10934,0
336986,Flamecraft,376,7.09981,16726,0
203420,Exit: The Game – The Abandoned Cabin,377,7.09969,11726,0
40692,Small World,378,7.09808,72758,0
172081,Burgle Bros.,379,7.09527,11914,0
172818,Above and Below,380,7.09252,16514,0
63888,Innovation,381,7.0921,19054,0
301880,Raiders of Scythia,382,7.09173,6065,0
25292,Merchants & Marauders,383,7.09158,14442,0
304420,Bonfire,384,7.09157,6945,0
193037,Dead of Winter: The Long Night,385,7.09065,10153,0
21241,Neuroshima Hex,386,7.08931,15307,0
140934,Arboretum,387,7.08913,21819,0
202426,Sidereal Confluence,388,7.08678,5405,0
345584,Mindbug: First Contact,389,7.08594,7256,0
219513,Bärenpark,390,7.08504,19743,0
13122,Antiquity,391,7.08436,4567,0
318084,Furnace,392,7.08428,11779,0
77130,Sid Meier's Civilization: The Board Game,393,7.08395,16095,0
176920,Mission: Red Planet (Second/Third Edition),394,7.08311,11809,0
59959,Letters from Whitechapel,395,7.08177,16448,0
358661,Andromeda's Edge,396,7.08041,2926,0
246192,Gizmos,397,7.08025,13530,0
39856,Dixit,398,7.0789,67111,0
336382,Marvel United: X-Men,399,7.07856,4025,0
45315,Dungeon Lords,400,7.07806,14093,0
199042,Harry Potter: Hogwarts Battle,401,7.07674,20381,0
297030,Tekhenu: Obelisk of the Sun,402,7.07654,6095,0
308119,Pax Renaissance: 2nd Edition,403,7.07457,2686,0
146439,BattleLore: Second Edition,404,7.07313,6458,0
70919,Takenoko,405,7.07059,46002,0
128271,Ginkgopolis,406,7.07,8340,0
350933,The Guild of Merchant Explorers,407,7.06929,5790,0
181304,Mysterium,408,7.06668,45989,0
311988,Frostpunk: The Board Game,409,7.06661,3667,0
349067,The Lord of the Rings: The Card Game – Revised Core Set,410,7.06552,2930,0
276182,Dead Reckoning,411,7.06521,3363,0
247367,"Air, Land, & Sea",412,7.06459,9215,0
37046,Ghost Stories,413,7.06437,21540,0
379078,Expeditions,414,7.06428,6642,0
40354,Maria,415,7.0639,3776,0
8217,San Juan,416,7.06234,24014,0
155987,Abyss,417,7.06142,15573,0
41114,The Resistance,418,7.06086,41570,0
245934,Carpe Diem,419,7.06007,8125,0
119890,Agricola: All Creatures Big and Small,420,7.05943,13953,0
372,Schotten Totten,421,7.05886,12387,0
90137,Blood Bowl: Team Manager – The Card Game,422,7.05797,11584,0
163745,Star Wars: Armada,423,7.05651,5564,0
274638,Unmatched: Robin Hood vs. Bigfoot,424,7.05627,4509,0
192458,51st State: Master Set,425,7.05504,7152,0
222509,Lords of Hellas,426,7.05503,7464,0
234,Hannibal: Rome vs. Carthage,427,7.0507,5043,0
244711,Newton,428,7.04805,7505,0
234487,Altiplano,429,7.04704,9333,0
24480,The Pillars of the Earth,430,7.04645,18117,0
246684,Smartphone Inc.,431,7.04641,6664,0
260428,Fall of Rome,432,7.04615,6517,0
25554,Notre Dame,433,7.04609,13524,0
269210,Twice as Clever!,434,7.04492,9412,0
342810,Marrakesh,435,7.043,3222,0
333255,Keep the Heroes Out!,436,7.03979,4132,0
195539,The Godfather: Corleone's Empire,437,7.03908,7973,0
39683,At the Gates of Loyang,438,7.03754,11380,0
101721,Mage Wars Arena,439,7.03579,7929,0
9217,Saint Petersburg,440,7.03425,16236,0
250458,Gùgōng,441,7.03278,9195,0
315767,Cartographers Heroes,442,7.02983,4954,0
15987,Arkham Horror,443,7.0253,39870,0
284742,Honey Buzz,444,7.02465,7300,0
171,Chess,445,7.02361,38003,0
70323,King of Tokyo,446,7.02347,72685,0
367966,Endeavor: Deep Sea,447,7.02305,2928,0
357563,Akropolis,448,7.0218,8253,0
258210,Blitzkrieg!: World War Two in 20 Minutes,449,7.02179,6189,0
92415,Skull,450,7.02003,25523,0
194594,Dice Forge,451,7.01944,22933,0
215311,Downforce,452,7.01721,14372,0
1,Die Macher,453,7.01536,5873,0
265736,Tiny Towns,454,7.01485,20441,0
322708,Descent: Legends of the Dark,455,7.01475,5153,0
33160,Endeavor,456,7.01455,9611,0
31594,In the Year of the Dragon,457,7.01455,12304,0
21348,Ticket to Ride: Märklin,458,7.01369,9261,0
236191,London (Second Edition),459,7.01337,7313,0
177478,IKI,460,7.01315,5890,0
298069,Cubitos,461,7.01037,9517,0
343905,Boonlake,462,7.00904,5434,0
351040,Ready Set Bet,463,7.0086,6413,0
303057,Pan Am,464,7.00721,6915,0
144592,Bruxelles 1893,465,7.00706,5688,0
256226,Azul: Stained Glass of Sintra,466,7.00638,14064,0
166669,San Juan (Second Edition),467,7.00622,7584,0
198773,Codenames: Pictures,468,7.00601,23653,0
128671,Spartacus: A Game of Blood and Treachery,469,7.0055,9162,0
293141,King of Tokyo: Dark Edition,470,7.00259,5635,0
71,Civilization,471,7.00152,7599,0
182134,Evolution: Climate,472,7.00144,8227,0
206480,Imperial Struggle,473,7.00077,2953,0
138161,Firefly: The Game,474,7.00052,12298,0
34219,Biblios,475,7.00002,17968,0
17392,Here I Stand,476,6.99927,3948,0
186751,Mythic Battles: Pantheon,477,6.99759,3351,0
292375,The Great Wall,478,6.99584,4578,0
385529,The Vale of Eternity,479,6.99558,5676,0
262543,Wavelength,480,6.99429,15183,0
318182,Imperium: Legends,481,6.99194,4195,0
170771,Sword & Sorcery,482,6.99084,5154,0
229220,Santa Maria,483,6.98893,7200,0
54625,Space Hulk (Third Edition),484,6.98719,7179,0
251658,Sprawlopolis,485,6.98635,11468,0
151347,Millennium Blades,486,6.98565,5297,0
66188,Fresco,487,6.98468,13336,0
204305,Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures,488,6.98375,6218,0
100901,Flash Point: Fire Rescue,489,6.97914,24699,0
40765,Clash of Cultures,490,6.97904,5847,0
55670,Macao,491,6.97899,7552,0
161614,Stockpile,492,6.97839,7389,0
154809,Nippon,493,6.97814,5032,0
27162,Kingsburg,494,6.9776,19872,0
62222,Commands & Colors: Napoleonics,495,6.977,3364,0
328565,Caper: Europe,496,6.97574,4817,0
355093,Woodcraft,497,6.97515,5276,0
150,PitchCar,498,6.97469,11262,0
124708,Mice and Mystics,499,6.9745,19943,0
215341,Thunderstone Quest,500,6.97386,4584,0
316412,The LOOP,501,6.9711,4796,0
264241,Mandala,502,6.9711,6520,0
36932,Claustrophobia,503,6.97075,7107,0
156858,Black Orchestra,504,6.97061,6775,0
121,Dune,505,6.97015,5930,0
18833,Lord of the Rings: The Confrontation,506,6.96999,6548,0
290484,Unsettled,507,6.96965,3116,0
356033,Libertalia: Winds of Galecrest,508,6.96943,7028,0
192153,Reign of Cthulhu,509,6.96824,10578,0
63628,The Manhattan Project,510,6.96594,10018,0
11170,Heroscape Master Set: Rise of the Valkyrie,511,6.96442,8344,0
286751,Zombicide: 2nd Edition,512,6.96387,4294,0
243,Advanced Squad Leader,513,6.96322,3877,0
338834,MicroMacro: Crime City – Full House,514,6.95957,4564,0
96913,Lancaster,515,6.95846,7656,0
175095,Dawn of the Zeds (Third Edition),516,6.95844,2917,0
367150,Dune: War for Arrakis,517,6.95816,2435,0
66362,Glen More,518,6.9574,9372,0
335764,"Unmatched: Battle of Legends, Volume Two",519,6.95681,2754,0
325635,Unmatched: Little Red Riding Hood vs. Beowulf,520,6.95648,3118,0
169427,Middara: Unintentional Malum – Act 1,521,6.95574,2622,0
79828,A Few Acres of Snow,522,6.95475,8026,0
256730,Pipeline,523,6.95456,5273,0
271601,Feed the Kraken,524,6.95422,4271,0
12942,No Thanks!,525,6.95405,28458,0
176396,Quadropolis,526,6.9535,13216,0
205398,Citadels,527,6.95333,15323,0
158899,Colt Express,528,6.9533,33447,0
334590,For Northwood! A Solo Trick-Taking Game,529,6.95284,3614,0
11,Bohnanza,530,6.95231,48393,0
220,High Society,531,6.95223,14728,0
354934,Legacy of Yu,532,6.95184,2814,0
353288,Trekking Through History,533,6.95107,5302,0
239942,Black Rose Wars,534,6.95029,4035,0
256952,Zombie Kidz Evolution,535,6.95009,5526,0
270844,Imperial Settlers: Empires of the North,536,6.94994,7636,0
290359,Undaunted: North Africa,537,6.94972,4171,0
269144,Hadara,538,6.94833,7577,0
216600,Fantastic Factories,539,6.94584,7134,0
274960,Point Salad,540,6.94506,20818,0
233312,Stuffed Fables,541,6.94444,7722,0
144189,Fire in the Lake,542,6.94424,3065,0
194607,Mystic Vale,543,6.9426,12176,0
315610,Massive Darkness 2: Hellscape,544,6.94196,3418,0
478,Citadels,545,6.93849,55680,0
290236,Canvas,546,6.93389,13731,0
15062,Shadows over Camelot,547,6.93357,28013,0
5404,Amun-Re,548,6.93353,9426,0
43570,Friday,549,6.93258,22039,0
20437,Lords of Vegas,550,6.93223,7809,0
98778,Hanabi,551,6.93161,49967,0
137408,Amerigo,552,6.93131,6296,0
25417,BattleLore,553,6.93066,9406,0
180974,Potion Explosion,554,6.92966,20476,0
226522,Exit: The Game – Dead Man on the Orient Express,555,6.92925,5232,0
193042,Junk Art,556,6.92816,7863,0
150658,Pandemic: The Cure,557,6.92736,10862,0
503,Through the Desert,558,6.92679,15023,0
365258,World Wonders,559,6.92661,4903,0
